SKU,nombre_limpio,Existencia,Ventas,Popular,variaciones,,,,,,,,
HAM12L116,Heliconia Amarilla,85,520,si,bolsa 12 litros,,,,,,,,
HAR05P130,Helecho Arroz,57,246,si,maceta negra 5 pulgadas,,,,,,,,
HAU11P077,Helecho Australiano,3,1681,si,maceta negra 11 pulgadas|maceta negra 14 pulgadas,,,,,,,,
HAZ10P125,Hiedra Azul,17,997,si,maceta negra 10 pulgadas,,,,,,,,
HBL08L006,Hule Blanco,4,162,no,bolsa 8 litros,,,,,,,,
HBO10P001,Helecho Boston***Oferta***60,51,1053,si,maceta negra 10 pulgadas,,,,,,,,
HBS05P077,Helecho Blue Star,19,2636,si,maceta negra 5 pulgadas|maceta negra 6 pulgadas|maceta negra 3 pulgadas,,,,,,,,
HBU06P009,Hierba Buena,90,260,si,maceta negra 6 pulgadas,,,,,,,,
HCA11P006,Hule Cavernet,106,927,si,maceta negra 11 pulgadas|maceta negra 10 pulgadas|bolsa 2 litros|maceta negra 12 pulgadas,,,,,,,,
HCA06P106,Helecho Cuerno De Alce,26,2844,si,maceta negra 6 pulgadas|maceta negra 4 pulgadas|maceta negra 10 pulgadas|maceta negra 5 pulgadas,,,,,,,,
HCA06P200,Hoya Carnosa,6,65,no,maceta negra 6 pulgadas,,,,,,,,
HCB10L116,Heliconia Cola De Borrego,65,55,no,bolsa 10 litros,,,,,,,,
HCI06P106,Helecho Cilantrillo,22,5431,si,maceta negra 6 pulgadas,,,,,,,,
HCV06P106,Helecho Cuero Varigado,6,102,no,maceta negra 6 pulgadas,,,,,,,,
HDA06P106,Helecho Davalia,5,1210,si,maceta negra 6 pulgadas|maceta negra 10 pulgadas,,,,,,,,
HEL20L009,Hoja Elegante,62,3964,si,bolsa 20 litros|bolsa 6 litros|bolsa 60 litros|bolsa 45 litros|bolsa 4 litros,,,,,,,,
HEM03L105,Hemerocalis,44,610,si,bolsa 3 litros,,,,,,,,
HEN03L077,Heliconia Enana,46,2294,si,bolsa 3 litros|bolsa 4 litros,,,,,,,,
HGA01L125,Hiedra Galvia Española,27,3177,si,bolsa 1 litros,,,,,,,,
HIN01L125,Hinojo,9,194,no,bolsa 1 litros,,,,,,,,
HKE05P168,Hoya Kerry,51,438,si,maceta negra 5 pulgadas|maceta negra 6 pulgadas,,,,,,,,
HMA06L116,Heliconia Mariposa,8,13,no,bolsa 6 litros,,,,,,,,
HMI06P077,Helecho Microsorum,48,13355,si,maceta negra 6 pulgadas|maceta negra 10 pulgadas,,,,,,,,
HMO10P003,Hiedra Morada,32,489,si,maceta negra 10 pulgadas,,,,,,,,
HNA01L127,Hinoki Nana,165,2312,si,bolsa 1 litros|bolsa 2 litros|bolsa 8 litros,,,,,,,,
HNA06P106,Helecho Nido De Ave,7,2941,si,maceta negra 6 pulgadas|maceta negra 8 pulgadas,,,,,,,,
HNO06P125,Huele De Noche,3,1678,si,maceta negra 6 pulgadas,,,,,,,,
HOL01L125,Hierba De Olor,106,20586,si,bolsa 1 litros|maceta negra 5 pulgadas,,,,,,,,
HOR08P003,Hortencia,96,4480,si,maceta negra 8 pulgadas|maceta negra 10 pulgadas,,,,,,,,
HOS03P106,Helecho Osaka,18,66,no,maceta negra 3 pulgadas|maceta negra 8 pulgadas,,,,,,,,
HPA10L153,Hamelia Patens,45,262,si,bolsa 10 litros,,,,,,,,
HPE04L077,Helecho Peine,12,11907,si,bolsa 4 litros|bolsa 3 litros,,,,,,,,
HPT08L116,Heliconia Pico De Tucan,32,2186,si,bolsa 8 litros,,,,,,,,
HRU08P006,Hule Rubi,122,175,no,maceta negra 8 pulgadas,,,,,,,,
HRU10P077,Helecho Rufles,6,7,no,maceta negra 10 pulgadas,,,,,,,,
HSL06P106,Helecho Silver Lady,5,1240,si,maceta negra 6 pulgadas,,,,,,,,
HSU10L125,Hiedra Sueca/Inglesa,26,1001,si,bolsa 10 litros,,,,,,,,
HUI18L129,Huizache,2,24,no,bolsa 18 litros,,,,,,,,
HUM01L101,Humiquick,15,72,no,bolsa 1 litros,,,,,,,,
HUV18L010,Hule Cavernet Bonsai,1,4,no,bolsa 18 litros,,,,,,,,
HYP06P109,Hypoeste,67,1735,si,maceta negra 6 pulgadas,,,,,,,,
ICA03L006,Ixora Carla,196,18899,si,bolsa 3 litros,,,,,,,,
IEN03L006,Ixora Enana Surtida-.30,203,11379,si,bolsa 3 litros,,,,,,,,
